note_id,type,title,desc,time,last_update_time,user_id,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,image_list,last_modify_ts,note_url
63b539a0000000001f0251d6,normal,加州旅游最美海滩Malibu🏖及美食打卡推荐,"前前后后去了加州4次，最喜欢最向往的就是加州的阳光与沙滩🏖️，之前一直以为Laguna Beach就是心目中最美的海滩了。直到这次去了Malibu Beach。绝对是加州最美的海滩‼️
📍 32350 E Pacific Coast Hwy, Malibu, CA 90265
最美海滩EI Matabor Beach
	
🌇建议在黄昏的时间去，无滤镜随手一拍都感觉是电脑桌面壁纸。感觉走进了电影中才能看到的橘子海落日画面，美到窒息。
⚠️Park 3pm关门，我们去的时候非常幸运是最后一辆车，大家去的时候要看好时间哟
	
～～～～周边美食推荐～～～～
🌟网红生蚝🦪 Broad Street Oyster Co. （P8）
每种生蚝都试了一份，Rockefeller最好吃～外面是一层面包糠，香香脆脆，里面是Garlic盐焗菠菜，超极香！
	
🌟Moonshadow Malibu （P7）
景美，食物也好吃的超高性价比餐厅！
据说是虞书欣同款海景餐厅～窗外就是大海。我们去的时候天已经黑了，但也不影响，夜景又另有一番风味。 菜品随便点都好吃，无一踩雷～
而且价格相对于它的景色和食物来说也不算贵，人均才50刀💰
	
🌟Blue Bottle Coffee （P9）
火遍全球的网红咖啡，本来到加州就一定要喝的咖啡没想到在Malibu就能喝到！
超级推荐Affogato：浓缩版高配雪顶咖啡！Expresso Shot + 香草味冰激凌，简直就是神仙组合[色色R]
回温好多天了还在想念它的味道[哭惹R]
	
                 @户外薯 @走走薯",1672821152000,1673041904000,5581d863e58d134077fc0bc0,C暮小吟,https://sns-avatar-qc.xhscdn.com/avatar/602a88f5b4a79387904095a7.jpg,136,152,3,93,,"https://sns-img-hw.xhscdn.net/1000g0081rnr5360es00040r4h1c662u0biu04b8,https://sns-img-hw.xhscdn.net/1000g0081ram20buf002g40r4h1c662u0dtr7tfg,https://sns-img-hw.xhscdn.net/1000g0081ram20buf000040r4h1c662u0s3nrv8g,https://sns-img-hw.xhscdn.net/1000g0081ram20buf000g40r4h1c662u03h7d1h8,https://sns-img-hw.xhscdn.net/1000g0081ram20buf001040r4h1c662u0fsdhrqg,https://sns-img-hw.xhscdn.net/1000g0081ram20buf001g40r4h1c662u017ull80,https://sns-img-hw.xhscdn.net/1000g0081ram20buf003040r4h1c662u0ev70mbg,https://sns-img-hw.xhscdn.net/1000g0081ram20buf003g40r4h1c662u0h2aleb0,https://sns-img-hw.xhscdn.net/1000g0081ram20buf004040r4h1c662u0alknobg",1700038264610,https://www.xiaohongshu.com/explore/63b539a0000000001f0251d6
6514f80f000000001f034744,normal,Malibu 🌊可太适合吃吃逛逛了,"来La好几年了 好像是第一次来Malibu海滩🏖
其实也就打卡了两个地方
- Westfield 地址:6600 CA-27, Canoga Park, CA 91303
一层很多奢侈品店 Cattier Lv Gucci YSL都有 可以逛很久
-餐厅是 Malibu Moonshadows 地址：20356 Pacific Coast Hwy, Malibu, CA 90265 网红餐厅 看海景真的很棒 但是我觉得酒不好喝菜也不怎么好吃[捂脸R]  不过景色好 很有情调
",1695873039000,1695873040000,59a736ed50c4b4498605210d,zizi_1121,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30opnkgugjc0049p0qrreq88de25dh68,10,7,10,4,,"https://sns-img-hw.xhscdn.net/6e14dbd9-24df-92ce-7204-ca3ada375191,https://sns-img-hw.xhscdn.net/666c2b04-49d3-d90a-31aa-5c15b346a017,https://sns-img-hw.xhscdn.net/19f55242-2bf9-a131-f954-48419c8d9677,https://sns-img-hw.xhscdn.net/2fd2408e-6934-fc93-a3a8-a39dbad1136a,https://sns-img-hw.xhscdn.net/22a4f049-9c36-682e-fb4e-9578c04505ae,https://sns-img-hw.xhscdn.net/f0d73aee-aa5e-f2c5-b24a-0f257defe37a,https://sns-img-hw.xhscdn.net/7a9f7801-8099-450f-cc8f-311d5c61aad1,https://sns-img-hw.xhscdn.net/2c1cf6df-9c45-b318-57dd-704b1951dca4",1700038264612,https://www.xiaohongshu.com/explore/6514f80f000000001f034744
652053db000000001f03f2c4,normal,洛杉矶Point dume | 藏在Malibu里的浪漫,"见过La这么多海滩，point dume一定算top之一
我们大概五点多到的，停车不是很方便
去海边需要走一段很短的trail，也可以选择走向悬崖边，风景也很美，可以俯瞰整片海。（去悬崖一定要注意安全，路不是很平）    ",1696617435000,1696617673000,598aafac82ec39126da1ea2d,萌,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30otle5ef3o0049nm23nqpqhdki1sdo0,48,7,3,1,,"https://sns-img-hw.xhscdn.net/e7c88021-f75a-e2d6-9cea-b74051e6a269,https://sns-img-hw.xhscdn.net/c7c8f469-cc8a-912d-a117-bc2aeec75cac,https://sns-img-hw.xhscdn.net/8babcb15-080e-a507-eabd-879fb5c39d11,https://sns-img-hw.xhscdn.net/7c2ef1bb-2763-6381-9e8e-54cb1f6e8c6b,https://sns-img-hw.xhscdn.net/e5422bb6-70b4-4246-2d00-3f57d13b5296,https://sns-img-hw.xhscdn.net/01469d43-84ee-031f-98e0-4e8c2c78b52b,https://sns-img-hw.xhscdn.net/3fb7e0e4-2e4f-58f7-c813-90636dc00022,https://sns-img-hw.xhscdn.net/09455437-6b77-2398-3e00-6cc675b35093",1700038264620,https://www.xiaohongshu.com/explore/652053db000000001f03f2c4
64fce37e000000001f03a882,normal,LA｜马里布山间brunch,"这家在当地人气super高，提前一周就定了来的时间，到了好多人排队，来逛gatty villa或者malibu海边的话可以顺路过来，开十多分钟从海边。
食物融合了摩洛哥🇲🇦风情，Kofta Tagine很可爱值得试试！天气比较热的时候就是坐室外，有点热🥵，景色值得！
	
Cafe on 27
1861 N Topanga Canyon Blvd
Topanga, CA 90290
United States
         ",1694294910000,1694294911000,552792429c5a6e2633969623,LA吃喝玩乐,https://sns-avatar-qc.xhscdn.com/avatar/61366a88c086c43e245719ca.jpg,229,322,17,109,,"https://sns-img-bd.xhscdn.com/674cca6e-aa07-0e75-7a0d-1e8e0ebdc757,https://sns-img-bd.xhscdn.com/8cb1d204-7314-c453-4ddf-603f12070a6c,https://sns-img-bd.xhscdn.com/6d27b0c5-cc81-16ec-af9c-72b89a46e8c3,https://sns-img-bd.xhscdn.com/031b0046-0c62-8809-d842-b17781112103,https://sns-img-bd.xhscdn.com/6fc56338-38ab-d4ef-ca0c-6f61632f6305,https://sns-img-bd.xhscdn.com/f48e6af6-7454-64b6-03eb-c37a98e2dccc,https://sns-img-bd.xhscdn.com/826ab205-32e9-f6f6-a66a-fccf82c7694e,https://sns-img-bd.xhscdn.com/4d09aad9-d549-b929-1cb5-8f1d055dc7da,https://sns-img-bd.xhscdn.com/ef80a3e1-9710-d75e-c207-6381b90d0a61,https://sns-img-bd.xhscdn.com/5fdb4a9b-215c-b7ee-35b6-ed056a418480,https://sns-img-bd.xhscdn.com/ad0ae2c1-1a3f-89e7-b885-98d3696cf83c,https://sns-img-bd.xhscdn.com/4258512c-ab64-eed4-3e98-ecae56696095,https://sns-img-bd.xhscdn.com/99305db3-9e96-bcae-5387-4c7be6f27ceb",1700038264627,https://www.xiaohongshu.com/explore/64fce37e000000001f03a882
65319f81000000001f035e86,normal,LA｜Malibu的后山上 有座绝美的小众印度庙,"每次去Malibu基本都要去海边打卡，但几个海滩入口基本常年人满为患，难免影响兴致。而后山上的一些花园、博物馆等地就相较冷清多了。其中这座印度庙则是我最常打卡的地点之一。
	
不同于位于Chino名气更大的那座印度庙，Malibu的这座要小巧不少，地理环境很好，群山环抱，环境清幽。庙宇整体以白色大理石为主，配上金箔点缀和精美的石刻，即使不来祭拜，来走走转转欣赏下建筑也不失为一种惬意的消遣。
	
📍Malibu Hindu Temple
1600 Las Virgenes Canyon Rd, Calabasas, CA 91302
🕐开放时间：周六周日早9:30至晚8点
🎫免费，不需门票/预约
🅿️自带免费停车场
⚠️进入主殿需要脱鞋，不可商业拍摄、大声喧哗
.
.
                 ",1697750913000,1697750913000,5a80ab6ce8ac2b743ea7527d,两颗桃,https://sns-avatar-qc.xhscdn.com/avatar/5f1bd13bc9010a0001af81a0.jpg,145,148,9,44,美国,"https://sns-img-hw.xhscdn.net/172864a6-70e4-d545-be1b-3b94c02a5883,https://sns-img-hw.xhscdn.net/362e243d-a6e9-6433-8cd5-9a70a98e6387,https://sns-img-hw.xhscdn.net/82d04465-13e7-6563-c7a2-dde74d1e6703,https://sns-img-hw.xhscdn.net/79c3578b-73ce-ad27-944c-3ed8d030ee36,https://sns-img-hw.xhscdn.net/9372dbaa-baf0-ca2a-95ab-79cef62270af,https://sns-img-hw.xhscdn.net/433f6c6e-ed38-a74b-cd8d-d38582219d9d,https://sns-img-hw.xhscdn.net/4655befc-3b64-9750-16bb-0b0897146c52,https://sns-img-hw.xhscdn.net/fe5b4a49-cb62-8a98-8dc8-134ef441b144,https://sns-img-hw.xhscdn.net/d1064340-b652-6ca6-720a-88a80c3acb6a",1700038264634,https://www.xiaohongshu.com/explore/65319f81000000001f035e86
653f75f5000000002500b667,normal,🇺🇸Malibu 要一起去看很多次海呀！🌴⛵️🐬,"想去海边晒太阳了，
所以就有了周末说走就走的旅行
	
只要还有海风和阳光，
夏天就不算离开了呀！
	
超幸运！餐厅窗口就看到了好多海豚！！
终于戴着海豚kitty🧢看到真的海豚啦😁
	
傍晚和气瓶们一起出了海，
第一次在海上感受落日⛵️
	
永远爱加州的golden hour呀！
	
         ",1698657781000,1698808517000,5aaf5f164eacab229514fe3b,Constance康康🐶,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30rc7h28nhg0g4a3nevfhdvhrh75jq4o,613,121,12,8,美国,"https://sns-img-hw.xhscdn.net/a5ee8de4-f0cf-1f36-5b8f-d999278cab17,https://sns-img-hw.xhscdn.net/29b5746b-d854-59d7-8e00-11e3aad53685,https://sns-img-hw.xhscdn.net/9d50fa80-dc67-dbc4-163a-d3d75c14cd4d,https://sns-img-hw.xhscdn.net/c9c4687d-7b6e-c45e-6659-87756f88fee8,https://sns-img-hw.xhscdn.net/4842775a-4ce8-1f99-565b-f9f7633d7203,https://sns-img-hw.xhscdn.net/c313a011-244d-5546-bc84-94ca8d2ead6f,https://sns-img-hw.xhscdn.net/a9e49e8f-e048-ef3f-8446-06210b819466,https://sns-img-hw.xhscdn.net/43988fc8-ad97-84fb-82d1-d06261d2f7ec,https://sns-img-hw.xhscdn.net/ef5d4127-2711-11df-d688-d57384d67b17,https://sns-img-hw.xhscdn.net/7e06c68f-723f-c514-b547-e065f41b38d1,https://sns-img-hw.xhscdn.net/d1469a9c-424d-ae1f-e2fd-996543dead1d",1700038264641,https://www.xiaohongshu.com/explore/653f75f5000000002500b667
653595b50000000020001cad,normal,去Malibu看浪的小狗,"洛杉矶带小狗看海贴
Malibu西面有个zuma beach，说是狗必须牵绳子，但连个人都没有，如果你家孩子听话 能喊回来 松绳子撒欢儿跑跑也没什么问题。
再往西有个el matador state beach, 登高望远拍照的，没啥能走的路。
    ",1698010549000,1698016921000,5a5b661ee8ac2b1e0c18ec54,糖步达,https://sns-avatar-qc.xhscdn.com/avatar/643791e77b2d0585af3b79a3.jpg,32,2,5,0,美国,"https://sns-img-hw.xhscdn.net/0052178e-e564-11f5-3826-2e50a75c6ff1,https://sns-img-hw.xhscdn.net/d92e10ff-0352-fd83-36b1-49d249a59d5d,https://sns-img-hw.xhscdn.net/392d53c4-198c-3f22-2bd5-979c89fac756,https://sns-img-hw.xhscdn.net/d82a7fed-0a18-109a-7347-370e16c19d36,https://sns-img-hw.xhscdn.net/5a4a5741-1f30-1b53-fa86-3756da212945",1700038264648,https://www.xiaohongshu.com/explore/653595b50000000020001cad
6445df35000000002702a8e1,normal,LA｜Malibu周末来一场说走就走的一日游叭🍷,"🐟第一站🐟
🍴Moonshadows Malibu🍴
餐厅的开放时间是11:30am至10:00pm，我们是周六下午1点多左右到，没有排队没有预约，直接walkin坐到了窗边的海景位置。整体菜品虽然看起来并没有很精致的摆盘，但味道还都不错，没有难吃到踩雷。环境很惬意，点杯酒和朋友聊聊天还是很放松的。
📍餐厅地址： 20356 E Pacific Coast Hwy, Malibu, CA 90265
🅿️停车： Valet Parking $12+tips
	
🌸第二站🌸
吃完饭后可以去附近的Malibu Shopping Mart逛下，是一个室外的商业街，有很多品牌而且异常好逛；Brandy Melville/ Chrome Hearts/Double RL/nati（和闺蜜在里面买了好几套衣服）等等。周边还有Blue Bottle咖啡，需要注意关门的时间特别早～可以到了之后买杯喝的再开逛
📍逛街地址： 3835 Cross Creek Rd, Malibu, CA 90265
🅿️停车：免费停车场
	
😎第三站😎
下一站可以去礁石海滩看日落，直接Google Map搜El Matador Beach，从Malibu Mart出来后沿着1号公路开大概15分钟就到啦！风景美到窒息～～
       ",1682300725000,1682532084000,57392d6e82ec3910a3479541,圆脸玖玖,https://sns-avatar-qc.xhscdn.com/avatar/6430ff9c1c152185686cb00c.jpg,113,96,19,29,,"https://sns-img-qc.xhscdn.com/fa13e2e6-a60a-9b6b-0857-8574d4e73aea,https://sns-img-qc.xhscdn.com/ca1ea6c3-ae53-4737-e531-ed50c44056ed,https://sns-img-qc.xhscdn.com/fc8055e8-b997-c833-9db6-816c98ac1248,https://sns-img-qc.xhscdn.com/8fbcc590-08d7-5c9e-d316-adba399e37f7,https://sns-img-qc.xhscdn.com/31935629-7727-a855-0a14-7cdd6b8e92fd,https://sns-img-qc.xhscdn.com/64e268d7-a9a9-9163-08d4-c917c6afc973,https://sns-img-qc.xhscdn.com/d8e700d5-bdc3-8734-515c-58d4f705f5b2",1700038264655,https://www.xiaohongshu.com/explore/6445df35000000002702a8e1
6531e4f4000000001e00d559,normal,Malibu日出🌅,"5点不到就起床了
但是海边日出真的很浪漫！
	
📍Point Dume Nature Preserve
	
 ",1697768692000,1697768693000,5573077258944653a6ffdfb5,eliselise,https://sns-avatar-qc.xhscdn.com/avatar/64daed24879c865fe9078fe3.jpg,19,1,9,0,美国,"https://sns-img-hw.xhscdn.net/8a5f931b-b1fa-56b1-ee29-4c31750e7e3f,https://sns-img-hw.xhscdn.net/242636fe-05fe-7725-6d6b-f1012671ce2e,https://sns-img-hw.xhscdn.net/a022f1f0-2999-c044-53d8-54110316faf8,https://sns-img-hw.xhscdn.net/2799a4c0-6890-fc01-7231-217696184d82,https://sns-img-hw.xhscdn.net/20f9dc72-4827-0ea5-6f42-8ea210ae640c,https://sns-img-hw.xhscdn.net/03d21090-d47d-c507-3f95-753f3c111949",1700038264662,https://www.xiaohongshu.com/explore/6531e4f4000000001e00d559
64dacf10000000001700fa29,normal,LA Malibu周边游｜Escondido Falls大瀑布,"📍地图直接搜Escondido Falls
	
🅿️路边进去左手边是一个迷你停车场，能停七八辆车，我们去的时候满了，停在外面大路的街边，有很多车位
	
🕙我们是周末12点左右到的，全程人都不多，瀑布有三四组人在休息，来回路上也都不堵车
	
➡️停好车之后大概走15min的居民区路，到左手边看到一个有标志牌的土路就可以进山了
全程来回两小时左右，路都很平整难度不大
一开始有几条小溪，过的时候石头和木桩会有点滑，容易摔倒要小心
	
💚周末想要找点绿色自然的非常推荐～8月中挺热的但是瀑布水流量不错，很漂亮🤩
	
  ",1692061456000,1692061456000,5a067ae711be104b89d5c8e1,王彪,https://sns-avatar-qc.xhscdn.com/avatar/63b634915efe81da95d629ef.jpg,386,97,4,23,,"https://sns-img-bd.xhscdn.com/b9b1c25b-c0f6-6d56-a6ca-3e7eb26c1890,https://sns-img-bd.xhscdn.com/1822b9e4-7b5d-9cfe-8b8c-2101af935693,https://sns-img-bd.xhscdn.com/298e1584-b0a3-2816-08c5-46e394058fba,https://sns-img-bd.xhscdn.com/c0178be9-290d-9d30-455b-a4bda0192ce1,https://sns-img-bd.xhscdn.com/d20dcd34-8520-78a8-47b6-4d798e6b28ca,https://sns-img-bd.xhscdn.com/43b49e73-dda4-c605-af23-8f4a0b7f6617,https://sns-img-bd.xhscdn.com/a26c62d9-1b97-f294-6fdc-5c7bffc022d1",1700038264669,https://www.xiaohongshu.com/explore/64dacf10000000001700fa29
